"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-06-30","122","72.7","120.4","15.4","1.168","52.6","302"
"2014-07-01","126","88.8","136.4","17.2","0.996","48.8","238"
"2014-07-02","84","55.2","57.2","2.9","0.868","27.7","132"
"2014-07-03","239","189.6","103.3","4.7","1.3","40","195"
"2014-07-04","239","187.8","128.3","4.1","1.264","39.8","232"
"2014-07-05","167","124.1","100.1","3.7","1.142","37.9","199"
"2014-07-06","253","202.3","154.5","8","1.353","35.9","212"
"2014-07-07","210","165.4","185.3","8.9","1.167","40.5","210"
"2014-07-08","150","105.7","123.2","8.7","0.865","40.3","117"
"2014-07-09","60","24.5","69.1","5.9","0.563","54.6","135"
"2014-07-10","78","27","79.7","7.8","0.505","40.4","201"
"2014-07-11","62","27.5","67.1","4.8","0.459","39.8","137"
"2014-07-12","48","12.1","34.8","2.2","0.307","30.6","145"
"2014-07-13","49","16.3","52.3","2.8","0.402","39.5","131"
"2014-07-14","90","26.2","64","4.5","0.519","43.2","259"
"2014-07-15","113","50.2","106.4","6.9","0.595","27.6","220"
"2014-07-16","120","86.5","110.9","4.1","0.805","41.7","207"
"2014-07-17","174","132.2","134.6","4.2","1.837","40.5","147"
"2014-07-18","186","141.8","107","7","1.654","38.2","222"
"2014-07-19","118","82.1","102.3","2.6","0.759","33.4","178"
"2014-07-20","98","66.7","91","3.7","0.722","26","197"
"2014-07-21","51","26.1","42.5","4.5","0.48","23.8","117"
"2014-07-22","39","11.9","36.6","7.1","0.472","39.6","58"
"2014-07-23","63","25.7","74.3","5.7","0.708","59.3","115"
"2014-07-24","87","60.8","112","6.3","0.976","68.3","134"
"2014-07-25","110","64.3","90.6","7","1.221","42.8","207"
"2014-07-26","155","94","135.5","10.1","1.184","41.3","286"
"2014-07-27","160","106.5","154.2","17.6","0.975","34.9","282"
"2014-07-28","168","121.9","155.6","8.9","0.942","32.8","239"
"2014-07-29","165","125.5","149.5","5","0.849","28.2","201"
"2014-07-30","160","119.6","68.5","2.6","1.352","28.1","162"
"2014-07-31","246","195.1","76.4","3.4","1.634","35.9","226"
"2014-08-01","198","150.2","127.8","3.1","1.346","35.1","223"
"2014-08-02","164","124","131.5","2.9","1.072","39","259"
"2014-08-03","152","110.6","139.3","2.3","1.015","39.1","224"
"2014-08-04","51","31.2","42.9","2.7","0.612","36.1","59"
"2014-08-05","49","24.3","49.8","5.1","0.579","37","169"
"2014-08-06","60","31.4","63.9","2.9","0.58","46.4","122"
"2014-08-07","114","62","92.2","10","1.134","44.9","248"
"2014-08-08","107","64.3","102.7","7.9","1.064","45.1","220"
"2014-08-09","134","80","122.8","9.1","1.062","40.3","229"
"2014-08-10","78","31.8","49","2.9","0.59","32.6","202"
"2014-08-11","51","23.7","48.1","2.9","0.48","39.7","139"
"2014-08-12","71","24.7","57.7","5.6","0.645","44.6","201"
"2014-08-13","45","25.5","35.2","2","0.606","34.2","104"
"2014-08-14","61","29.1","44.2","3.7","0.633","39","196"
"2014-08-15","76","34.5","68.6","4.5","0.619","49.2","210"
"2014-08-16","97","54.8","92.5","6.3","0.868","49.4","250"
"2014-08-17","98","52.7","88.3","4.6","0.784","32","201"
"2014-08-18","88","56.7","84.4","5.6","0.819","38","219"
"2014-08-19","129","84.4","119.1","6","0.962","40.2","239"
"2014-08-20","143","104.3","146.4","13.9","1.082","40.7","256"
"2014-08-21","179","126.4","168.8","8.8","1.148","48.9","279"
